name,nation,score,peoples,date
逍遥法外 第一季,美国,8.6,22498,2014-09-25
神的测验3,韩国,8.1,905,2012-05-20
犬神家族,日本,6.3,638,2018-12-24
真相,香港,7.9,16012,2011-06-27
梅格雷的十字路口之夜,英国,7.5,3137,2017-04-16
恶意,日本,8.1,1082,2001-11-19
逆转裁判 〜对这个“真实”，有异议！,日本,7.1,385,2018-10-06
情有千千劫,中国大陆,8.6,1269,2002-07-12
福尔摩斯探案,,9.0,659,2013-11-18
侦探学园Q,日本,7.6,12857,2007-07-03
铁证悬案 第一季,美国,8.0,3357,2003-09-28
B+侦探,中国大陆,5.7,26871,2011-04-29
识骨寻踪 第二季,美国,8.9,7150,2006-08-30
池袋西口公园,日本,8.7,21273,2000-04-14
今天的侦探,韩国,6.9,2083,2018-09-05
犯罪现场调查：纽约 第一季,,8.6,7921,2004-09-22
1006的房客,台湾,7.9,1839,2018-03-14
熊猫杀,,9.1,2919,2016-09-10
识骨寻踪 第十二季,美国,9.0,1940,2017-01-04
摩斯探长前传 试映集,,8.8,2895,2012-01-02
神的测验2,,8.0,934,2011-06-10
廉政风云,中国大陆,5.4,54999,2019-02-05
圈套2,日本,8.8,9412,2002-01-11
犯罪心理,韩国,6.8,3303,2017-07-26
刑警,香港,7.7,13190,2010-11-01
虎牙狼人杀 第三季,中国大陆,8.0,266,2019-01-04
紧急审讯室,日本,7.4,6006,2014-01-09
马普尔小姐探案 第四季,爱尔兰,7.8,4285,2008-11-08
神的测验4,韩国,8.1,737,2014-05-18
火线追凶之黑枪疑云,,7.6,3602,2009-07-15
火线追凶之绝命狙击,,7.7,3950,2009-07-09
神探狄仁杰4,中国大陆,6.1,3080,2017-03-23
天才J之致命推理,中国大陆,6.0,1859,2018-08-24
少年神探狄仁杰,中国大陆,6.3,3780,2014-06-03
犯罪心理 第八季,美国,9.0,14441,2012-09-26
刑警队长,中国大陆,8.0,2547,2015-05-25
犯罪心理 第十三季,美国,8.4,4526,2017-09-27
金田一少年事件簿 香港九龙财宝杀人事件,,4.9,8884,2013-01-12
吸血鬼检察官,,7.7,4765,2011-10-02
识骨寻踪  第三季,美国,9.0,6297,2007-09-25
侠僧探案传奇之大夜叉,,8.1,3077,2015-01-22
绝园的暴风雨,,7.5,8201,2012-10-04
犯罪心理 第十季,美国,8.9,9681,2014-10-01
白金数据,日本,6.8,15695,2013-03-16
梅格雷的亡者,英国,7.4,4583,2016-12-25
盛唐幻夜,中国大陆,6.0,9816,2018-10-18
六花的勇者,日本,6.7,2700,2015-07-04
大侦探波洛 第八季,英国,9.2,1367,2001-04-20
大侦探波洛 第九季,英国,9.3,1869,2003-12-14
犯罪心理 第六季,美国,9.1,18004,2010-09-22
孩子们,韩国,7.4,17771,2011-02-17
大侦探波洛 第十一季,英国,9.0,1510,2008-09-14
犯罪心理 第七季,美国,9.2,16625,2011-09-21
探长薇拉 第九季,英国,8.7,105,2019-01-13
火线追凶之狂魔再现,,7.7,3686,钟汉良
金田一少年事件簿2,日本,9.2,3283,1996-07-13
ST 红白搜查档案,日本,7.7,4001,2014-07-16
乌鸦,英国,6.6,12932,2012-03-09
名侦探柯南 真人版 Ⅰ,日本,6.1,18010,2006-10-02
恋爱捕手,韩国,7.3,926,2018-07-11
谋杀启事,英国,8.5,956,2005-01-02
古畑任三郎 VS SMAP,日本,8.7,6747,1999-01-03
時效警察归来,日本,8.6,6845,2007-04-13
迷离档案,香港,7.8,2696,1997-05-12
900重案追凶,香港,8.2,4427,1996-05-06
美丽的秋天村庄Michuli 第二季,韩国,8.5,420,2019-02-15
妙警贼探 第五季,美国,8.7,11316,2013-10-17
彼得的葬礼,日本,8.3,2162,2014-07-07
失踪 第二季,英国,9.1,464,2016-10-12
万圣节前夜的谋杀案,,7.5,2139,2010-05-26
迷雾,,8.6,1073,董勇
福尔摩斯回忆录,英国,9.4,2463,1994-03-07
捉迷藏,中国大陆,5.4,29809,2016-11-04
白教堂血案 第一季,,8.0,10111,2009-02-02
神探可伦坡 第一季,美国,8.8,440,1971-09-15
侦探：开端,韩国,6.7,4243,2015-09-24
源代码,西南偏南电影节,8.4,499361,2011-03-11
博斯 第一季,,8.2,1204,2014-02-06
识骨寻踪 第八季,美国,8.8,3835,2012-09-17
悬崖山庄奇案,,8.3,1363,1990-01-07
恐怖游轮,英国,8.4,429661,2009-10-16
路德 第一季,英国,8.3,1220,2010-05-04
推理要在晚餐后 电影版,日本,6.7,6039,2013-08-03
识骨寻踪 第五季,美国,9.0,5844,2009-09-17
暗黑女子,日本,6.3,2682,2017-04-01
热海的搜查官,日本,8.4,7631,2010-07-30
布朗神父 第七季,英国,8.1,76,2019-01-07
骇人命案事件簿 第一季,,8.2,311,1997-03-23
莱姆豪斯的杀人魔,多伦多电影节,6.6,2721,2016-09-10
连带伤害,英国,7.7,4080,2018-02-12
罗杰疑案,俄国,8.3,217,2002-11-06
沉默的羔羊,美国,8.8,466954,1991-02-14
圈套3,日本,8.7,7327,2003-10-16
费雪小姐探案集 第一季,,8.2,1333,2012-02-24
犯罪现场调查 第三季,美国,9.2,6421,2002-09-26
犯罪现场调查 第五季,美国,9.3,5378,2004-09-23
犯罪心理 第十二季,美国,8.4,5820,2016-09-28
真探 第一季,美国,9.3,88199,2014-01-12
死亡约会,美国,6.9,739,1988-04-15
朋友游戏,日本,6.8,772,2017-04-03
维兰德 第一季,,8.2,3164,2008-11-30
神探阿蒙 第一季,,8.6,4126,2002-07-12
犯罪心理 第九季,美国,8.9,11513,2013-09-25
非关正义,日本,8.3,9740,2006-01-10
谜情家族,香港,7.5,4590,2006-01-02
大侦探波洛 第七季,英国,9.2,1351,2000-01-02
大侦探波洛 第十季,英国,9.1,1590,2006-01-01
大侦探波洛 第十二季,英国,9.3,1978,2010-01-03
火线追凶之惊魂宴,,7.6,3372,钟汉良
马普尔小姐探案  第五季,挪威,8.4,3294,2010-02-28
名侦探狄仁杰,中国大陆,7.1,13268,2015-02-25
鬼牌游戏,日本,8.4,5664,2016-04-05
金田一少年事件簿 狱门塾杀人事件,日本,6.3,5505,2014-01-04
金田一少年事件簿R 第二季,日本,8.3,783,2015-10-03
破镜谋杀案：女演员杀人事件,日本,5.8,1816,2018-03-25
人狼游戏,日本,5.8,2210,2013-10-26
犯罪现场调查 第七季,美国,9.3,5154,2006-09-21
识骨寻踪 第六季,美国,9.0,5279,2010-09-23
勾魂游戏,,7.7,1538,1973-06-14
跳跃大搜查线,日本,9.0,6148,1997-01-07
Lying Man 第三季,中国大陆,9.0,1305,2016-07-01
大宋提刑官2,中国大陆,6.5,1421,2006-09-15
全城通缉,中国大陆,4.5,13825,2014-11-06
大侦探波洛 第四季,英国,9.3,1516,1992-01-05
相棒 第12季,日本,8.7,1937,2013-10-16
犯罪现场调查 第二季,美国,9.2,7495,2001-09-27
魔术快斗,日本,7.9,5612,2010-04-17
天堂岛疑云 第一季,英国,8.4,944,2011-10-25
名侦探柯南 真人版 Ⅱ,日本,6.5,14679,2007-12-17
赌博默示录：破戒录篇,日本,8.9,5412,2011-04-05
葬礼之后,,8.3,1540,2005-12-11
密室之不可靠岸,中国大陆,5.2,13887,2011-10-27
未解决之女 警视厅文件捜査官,日本,6.6,1933,2018-04-19
火线追凶之死亡地带,,7.8,3738,钟汉良
识骨寻踪 第十一季,美国,8.5,1900,2015-10-01
古畑任三郎  暂时的分离,日本,8.8,2088,1996-03-27
犯罪现场调查 第四季,美国,9.2,5598,2003-09-25
神探斯特莱克 第一季,英国,7.6,1607,2017-08-27
砂之器,日本,8.6,2903,2004-01-18
四签名,,9.0,922,1987-12-29
熊猫杀  第二季,中国大陆,8.0,1717,2017-01-21
伯特伦旅馆之谜,,8.7,785,2007-04-01
煦阳岭的疑云,,8.5,606,2006-02-19
幻术大师 第一季,,9.2,314,1997-05-10
三幕悲剧,,8.0,1651,2010-01-01
罪恶黑名单 第一季,美国,7.7,13760,2013-09-23
相棒 第2季,日本,8.7,1578,2003-10-08
刑警与大盗,日本,6.9,893,2018-10-13
逆转裁判 〜对这个“真实”，有异议！〜,日本,6.3,1863,2016-04-02
冰菓OAD,日本,8.4,3572,2013-01-12
妙探寻凶,美国,7.4,1570,1985-12-13
圈套剧场版4：最后的舞台,日本,8.1,4608,2014-01-11
侦探学园Q,,7.7,1487,2003-04-15
福尔摩斯探案集,英国,9.2,316,1964-05-18
重任在肩 第一季,,8.4,1651,2012-06-26
犯罪现场调查 第六季,美国,9.3,4896,2005-09-22
疑惑,日本,5.9,1177,2019-02-03
名侦探柯南OVA5：目标是小五郎！少年侦探团的秘密调查,日本,7.2,3741,2006-03-24
Thrill 红之章 警视厅庶务科 瞳的破案笔记,日本,7.9,1656,2017-02-22
悬案密码3：信仰的阴谋,丹麦,6.6,1198,2016-03-03
布朗神父 第一季,,7.7,518,2013-01-14
相棒 第8季,日本,9.0,1728,2009-10-14
真相背后,日本,6.9,4498,2016-03-25
逝者之证 第一季,美国,7.6,3342,2011-01-25
石之茧,日本,7.3,1995,2015-08-16
深度谜案,西班牙,6.7,20057,2008-01-18
大侦探波洛 第六季,英国,9.2,1260,1994-12-25
斯泰尔斯庄园奇案,,7.9,955,1990-09-16
设得兰谜案 第一季,,7.5,314,2013-03-10
布雷德利夫人探案,,8.2,274,1998-08-31
三角迷踪,日本,7.7,9062,2009-01-06
金田一少年事件簿：吸血鬼传说杀人事件,日本,6.8,6877,2005-09-24
H庄园的一次午餐,英国,8.0,1419,2003-12-26
相棒 第15季,日本,8.2,1044,2016-10-12
名侦探柯南：逃亡者·毛利小五郎,,7.2,1009,2014-04-30
东方快车谋杀案,,7.3,509,2001-04-22
密室之不可告人,,5.7,16595,2010-10-29
神的记事本,,6.8,3448,2011-07-03
心灵猎人 第一季,美国,8.9,36190,2017-10-13
9号房间,韩国,7.4,2014,2018-10-06
名侦探柯南OVA6：追踪失踪的钻石，柯南、平次VS基德,日本,7.5,4527,2008-04-04
左眼侦探,日本,6.8,3690,2010-01-23
阿尔罕布拉宫的回忆,韩国,7.7,34437,2018-12-01
Circle：相连的两个世界,韩国,8.1,2424,2017-05-22
识骨寻踪 第十季,美国,8.6,2531,2014-09-25
魔角侦探之大三角计划,中国大陆,9.3,498,2012-07-23
Missing 9,韩国,6.2,3008,2017-01-18
ON 异常犯罪捜査官 藤堂比奈子,日本,7.3,4673,2016-07-12
验尸官,加拿大,5.9,155,2019-01-07
谋杀 第二季,美国,8.9,7737,2012-04-01
名侦探柯南OVA2：16人的嫌疑犯,日本,7.5,4349,2006-03-24
UN-GO,,7.7,4718,2011-10-13
绝对零度,日本,7.5,4174,2010-04-13
相棒 第9季,日本,9.0,2087,2010-10-01
无人生还,日本,6.4,4599,2017-03-25
彷徨之刃,韩国,7.2,5772,2014-04-10
草莓之夜,日本,6.8,4451,2013-01-26
名侦探柯南OVA1：宝刀争夺大作战,日本,7.6,6294,2006-03-24
通天狄仁杰,中国大陆,5.0,3353,2017-08-21
心理追凶 第六季,英国,8.9,484,2008-09-12
云中命案,,7.8,1179,1992-01-12
W的悲剧,日本,7.6,12224,2012-04-26
人狼游戏：爱人,日本,6.4,897,2017-01-28
最佳嫌疑人,中国大陆,5.9,7995,2014-04-18
犯罪现场调查：迈阿密 第一季,,8.0,3720,2002-09-23
全民目击,中国大陆,7.7,193739,2013-09-13
深瞳,,7.6,888,张正阳
朋友游戏 真人版下,日本,6.6,467,2017-09-02
草莓之夜·英雄传,日本,6.7,250,2019-04-11
虎牙狼人杀,中国大陆,7.4,1103,2017-09-28
检法男女,韩国,6.4,705,2018-05-14
阿加莎·克里斯蒂小型谋杀剧场 第二季,法国,6.8,563,2013-03-29
沉睡的谋杀案,,8.2,594,2006-02-05
施公奇案,,6.8,5192,2006-01-31
刑事调查大揭秘 第一季,美国,9.1,623,2012-06-17
命案目睹记：卧铺特急杀人事件,日本,5.3,2683,2018-03-24
老九门番外之虎骨梅花,中国大陆,5.2,1234,2016-11-10
十大奇冤,,6.9,1413,2008-11-12
古宅迷踪,英国,8.1,1177,2013-10-30
相棒 第13季,日本,8.1,1551,2014-10-15
数字追凶 第一季,美国,7.5,2579,2005-01-23
蛛丝马迹,,6.7,2870,2001-04-02
神探南茜,,6.6,4920,2007-06-15
零的焦点,,7.1,5306,2009-11-14
模仿犯,日本,7.1,4563,2016-09-21
白色圣诞节,韩国,8.1,2561,2011-01-30
古畑任三郎  消失的名侦探,,8.6,1753,1996-04-09
古畑任三郎 黑岩博士的恐怖,,8.5,2025,1999-04-06
名侦探柯南OVA11：来自伦敦的秘密指令,日本,6.8,3636,2011-06-01
圈套剧场版2,,7.8,3787,2006-06-10
密室逃脱·暗夜古宅,中国大陆,6.0,1150,2018-04-13
维兰德 第四季,德国,8.8,795,2015-12-25
战地神探 第一季,,8.5,321,2002-10-27
相棒 第10季,日本,8.8,1791,2011-10-19
推理要在晚餐后SP,日本,6.9,6207,2012-03-27
白教堂血案 第二季,,8.0,6262,2010-10-10
小镇疑云 第三季,英国,8.8,1473,2017-02-27
犯罪现场调查 第十四季,美国,8.6,2350,2013-09-25
民俗学者八云树,日本,7.1,1201,2004-10-15
彗星来的那一夜,奇幻电影节,8.5,254114,2013-09-19
点与线,,7.8,1802,芦川诚
