name,nation,score,peoples,date
命运石之门剧场版：负荷领域的既视感,日本,8.7,10769,2013/4/20
李献计历险记,,8.7,94071,2009/12/5
全金属狂潮4,日本,8.7,2853,2018/4/13
超能陆战队,东京电影节,8.6,520301,2014/10/23
人工智能,美国,8.6,245015,2001/6/29
黑客帝国3：矩阵革命,美国,8.6,208680,2003/11/5
疯狂的麦克斯4：狂暴之路,澳大利亚,8.6,271451,2015/5/14
终结者2：审判日,美国,8.6,186444,1991/7/3
回到未来,美国,8.6,97032,1985/7/3
穿越时空的少女,日本,8.6,233826,2006/7/15
记忆碎片,威尼斯电影节,8.6,354819,2000/9/5
穿越者 第三季,美国,8.6,323,2018/12/14
霹雳五号,,8.6,11108,1986/5/9
变形金刚：猛兽侠 第一季,美国,8.6,6683,1999/9/18
迪迦奥特曼最终圣战,,8.6,3173,2000/3/11
泰罗奥特曼,日本,8.6,4384,1973/4/6
彗星来的那一夜,奇幻电影节,8.5,254126,2013/9/19
这个男人来自地球,美国,8.5,233387,2007/11/13
黑客帝国2：重装上阵,韦斯特伍德首映,8.5,184031,2003/5/7
苍穹浩瀚 第一季,美国,8.5,12851,2015/12/14
相对宇宙 第一季,美国,8.5,13819,2017/12/10
飞向太空,苏联,8.5,9461,1972/3/20
世界旦夕之间,西德,8.5,2721,1973/10/14
超感猎杀：圣诞特别篇,美国,8.5,19803,2016/12/23
全能侦探社 第一季,美国,8.5,10792,2016/10/22
铁臂阿童木,日本,8.5,19035,1963/1/1
火星救援,美国,8.4,404127,2015/10/2
源代码,西南偏南电影节,8.4,499376,2011/3/11
超时空接触,,8.4,65257,1997/7/11
哈利·波特与密室,英国,8.4,258826,2002/11/15
回到未来2,美国,8.4,55657,1989/11/22
阿基拉,日本,8.4,28931,1988/7/16
高堡奇人 第三季,美国,8.4,2351,2018/10/5
你也是人类吗?,韩国,8.4,8160,2018/6/4
不死法医,美国,8.4,16054,2014/9/22
超凡少年,泰国,8.4,1180,2018/8/5
玲音,,8.4,5981,1998/7/6
某科学的超电磁炮,日本,8.4,21573,2009/10/2
迷失  第二季,美国,8.4,23623,2005/9/21
机动战士高达SEED,日本,8.4,15048,2002/10/5
银翼杀手2049,美国,8.3,275237,2017/10/6
守望者,美国,8.3,101843,2009/3/6
银翼杀手,美国,8.3,119677,1982/6/25
她,纽约电影节,8.3,272137,2013/10/12
金刚狼3：殊死一战,柏林电影节,8.3,309771,2017/2/17
蝙蝠侠：侠影之谜,美国,8.3,191363,2005/6/15
异次元骇客,美国,8.3,62367,1999/5/28
黑洞频率,美国,8.3,70361,2000/4/28
回到未来3,美国,8.3,47623,1990/5/25
疯子,美国,8.3,9840,2018/9/21
星球大战2：帝国反击战,美国,8.3,62333,1980/5/21
霍比特人3：五军之战,美国,8.3,241409,2014/12/17
霍比特人2：史矛革之战,美国,8.3,239849,2013/12/13
你的孩子不是你的孩子,金马奇幻影展,8.3,7469,2018/4/21
英雄 第一季,美国,8.3,43000,2006/7/22
死侍：危险行为,,8.3,3772,2017/3/3
雷欧奥特曼,日本,8.3,5860,1974/4/12
领航员,美国,8.3,2893,1986/7/30
杰克奥特曼,日本,8.3,4724,1971/4/2
变形金刚,美国,8.2,307763,2007/7/3
第九区,美国,8.2,278011,2009/8/14
X战警：逆转未来,美国,8.2,322673,2014/5/23
X战警：第一战,纽约首映,8.2,240145,2011/5/25
无姓之人,威尼斯电影节,8.2,76638,2009/9/12
